analysis_group,label,cohort,ocid,character_name,levels,start_level,end_level,total_growth,event_growth,between_growth,max_interval_growth,max_interval_seg,burst_ratio,std_interval,n_active_ge2,n_active_ge1,n_flat,n_intervals_known,seg0_assemble,seg4_overdrive,first_260_offset,exp_rate_at_260,obs_days_after_260,final_exp_rate,cp_delta_5snap
parker_vs_persistent,Persistent_cand,climb,9c5f2f8d67c23852d45da9de103e365eefe8d04e6d233bd35cf2fabdeb93fb0d,,220|220|220|232|255|260,220,260,40,5,35,23,3,0.575,8.69,3,3,2,5,0,5,,,,,
parker_vs_persistent,Persistent_cand,climb,c65b789c8f6e4622171e14f115b643daefe8d04e6d233bd35cf2fabdeb93fb0d,,206|206|211|242|255|260,206,260,54,5,49,31,2,0.574,10.93,4,4,1,5,0,5,,,,,
parker_vs_persistent,Persistent_cand,climb,9a3b76c2ec169b5e6e8c4f0c096cf2b1efe8d04e6d233bd35cf2fabdeb93fb0d,,231|241|246|250|255|260,231,260,29,15,14,10,0,0.345,2.14,5,5,0,5,10,5,,,,,
parker_vs_persistent,Persistent_cand,climb,d658a1d898410d9343f0d3c0c4cb0987efe8d04e6d233bd35cf2fabdeb93fb0d,,220|220|220|227|255|260,220,260,40,5,35,28,3,0.7,10.37,3,3,2,5,0,5,,,,,
parker_vs_persistent,Persistent_cand,burnend,8197eeaf6241ff31c73878bf45d0a965,,265|265|270|275|281|283,265,283,18,2,16,6,3,0.333,2.24,4,4,1,5,0,2,,,,,
parker_vs_persistent,Persistent_cand,climb,7414e5aaedc601e8e7ef5a3beb9287d5,,210|210|211|225|255|260,210,260,50,5,45,30,3,0.6,11.15,3,4,1,5,0,5,,,,,
parker_vs_persistent,Persistent_cand,climb,736b4685e047f6f4ad79b5881861c7d1,,204|204|204|210|255|260,204,260,56,5,51,45,3,0.804,17.08,3,3,2,5,0,5,,,,,
parker_vs_persistent,Persistent_cand,climb,46f89255dba4d53a4d1d704d64a18049efe8d04e6d233bd35cf2fabdeb93fb0d,,231|231|231|241|255|260,231,260,29,5,24,14,3,0.483,5.53,3,3,2,5,0,5,,,,,
parker_vs_persistent,Persistent_cand,at260,8a2e84b80fe6905000e98192ef67970c,,200|204|214|260|260|260,200,260,60,4,56,46,2,0.767,17.39,3,3,2,5,4,0,,,,,
parker_vs_persistent,Persistent_cand,at260,2ab1d52dfb9a2b08a4b2876a570615b7,,253|255|257|260|260|260,253,260,7,2,5,3,2,0.429,1.2,3,3,2,5,2,0,,,,,
parker_vs_persistent,Persistent_cand,burnend,dc9e8579a19eddd613b717d71d43683b,,270|273|275|278|281|283,270,283,13,5,8,3,0,0.231,0.49,5,5,0,5,3,2,,,,,
parker_vs_persistent,Persistent_cand,burnend,d821168c54554f49655aec0b3766c96d,,271|273|275|276|280|285,271,285,14,7,7,5,4,0.357,1.47,4,5,0,5,2,5,,,,,
parker_vs_persistent,Persistent_cand,at260,29b96c5c104ebdc287fa638db2e5f56c,,200|204|234|260|260|260,200,260,60,4,56,30,1,0.5,13.21,3,3,2,5,4,0,,,,,
parker_vs_persistent,Persistent_cand,at260,740ac6e7aec65be19f83fa6aabd3bec5,,230|232|232|241|260|260,230,260,30,2,28,19,3,0.633,7.29,3,3,2,5,2,0,,,,,
parker_vs_persistent,Persistent_cand,burnend,e9846107fe71ed0edbac241f122a1037efe8d04e6d233bd35cf2fabdeb93fb0d,,266|270|273|279|281|282,266,282,16,5,11,6,2,0.375,1.72,4,5,0,5,4,1,,,,,
parker_vs_persistent,Persistent_cand,climb,980246ee30088f65a3049bc9d465a6a286e68d4012202d0434d05f81868f68e3,,204|233|250|250|256|256,204,256,52,29,23,29,0,0.558,11.18,3,3,2,5,29,0,,,,,
parker_vs_persistent,Persistent_cand,at260,3b0d0f682f1fcaa3221799be6ff0b198efe8d04e6d233bd35cf2fabdeb93fb0d,,211|211|235|256|260|260,211,260,49,0,49,24,1,0.49,10.51,3,3,2,5,0,0,,,,,
parker_vs_persistent,Persistent_cand,burnend,e75ce841e3435551d62926fa97ac2eae,,273|275|275|275|281|284,273,284,11,5,6,6,3,0.545,2.23,3,3,2,5,2,3,,,,,
parker_vs_persistent,Persistent_cand,climb,021d71c6c5fce78fcc38720dc5ff520a,,214|214|225|225|255|260,214,260,46,5,41,30,3,0.652,11.16,3,3,2,5,0,5,,,,,
parker_vs_persistent,Persistent_cand,climb,6bca448fe48ca75d1fece04eff4801e2,,232|239|242|246|255|259,232,259,27,11,16,9,3,0.333,2.24,5,5,0,5,7,4,,,,,
parker_vs_persistent,Persistent_cand,at260,6aae561357d4fec7ce1b834466533cbcefe8d04e6d233bd35cf2fabdeb93fb0d,,233|233|235|245|260|260,233,260,27,0,27,15,3,0.556,6.05,3,3,2,5,0,0,,,,,
parker_vs_persistent,Persistent_cand,at260,680adcb996a46a5e066515818a07d82d,,218|220|220|241|260|260,218,260,42,2,40,21,2,0.5,9.52,3,3,2,5,2,0,,,,,
parker_vs_persistent,Persistent_cand,at260,ce30e9957cb3fc25d2ba4f178103d41b,,230|235|239|250|260|260,230,260,30,5,25,11,2,0.367,4.05,4,4,1,5,5,0,,,,,
