label,cohort,ocid,levels,start_level,total_growth,event_growth,between_growth,n_active_ge1,n_active_ge2,top1_share,top2_share,hhi,disp_entropy,conc_entropy,gap12
Persistent_cand,climb,c65b789c8f6e4622171e14f115b643daefe8d04e6d233bd35cf2fabdeb93fb0d,206|206|211|242|255|260,206,54,5,49,4,4,0.574,0.815,0.405,0.685,0.315,18
Persistent_cand,climb,9a3b76c2ec169b5e6e8c4f0c096cf2b1efe8d04e6d233bd35cf2fabdeb93fb0d,231|241|246|250|255|260,231,29,15,14,5,5,0.345,0.517,0.227,0.963,0.037,5
Persistent_cand,climb,d658a1d898410d9343f0d3c0c4cb0987efe8d04e6d233bd35cf2fabdeb93fb0d,220|220|220|227|255|260,220,40,5,35,3,3,0.7,0.875,0.536,0.506,0.494,21
Persistent_cand,burnend,8197eeaf6241ff31c73878bf45d0a965,265|265|270|275|281|283,265,18,2,16,4,4,0.333,0.611,0.278,0.821,0.179,1
Persistent_cand,climb,7414e5aaedc601e8e7ef5a3beb9287d5,210|210|211|225|255|260,210,50,5,45,4,3,0.6,0.88,0.449,0.604,0.396,16
Persistent_cand,climb,736b4685e047f6f4ad79b5881861c7d1,204|204|204|210|255|260,204,56,5,51,3,3,0.804,0.911,0.665,0.392,0.608,39
Persistent_cand,climb,46f89255dba4d53a4d1d704d64a18049efe8d04e6d233bd35cf2fabdeb93fb0d,231|231|231|241|255|260,231,29,5,24,3,3,0.483,0.828,0.382,0.635,0.365,4
Persistent_cand,at260,8a2e84b80fe6905000e98192ef67970c,200|204|214|260|260|260,200,60,4,56,3,3,0.767,0.933,0.62,0.424,0.576,36
Persistent_cand,at260,2ab1d52dfb9a2b08a4b2876a570615b7,253|255|257|260|260|260,253,7,2,5,3,3,0.429,0.714,0.347,0.67,0.33,1
Persistent_cand,burnend,dc9e8579a19eddd613b717d71d43683b,270|273|275|278|281|283,270,13,5,8,5,5,0.231,0.462,0.207,0.989,0.011,0
Persistent_cand,burnend,d821168c54554f49655aec0b3766c96d,271|273|275|276|280|285,271,14,7,7,5,4,0.357,0.643,0.255,0.913,0.087,1
Persistent_cand,at260,29b96c5c104ebdc287fa638db2e5f56c,200|204|234|260|260|260,200,60,4,56,3,3,0.5,0.933,0.442,0.553,0.447,4
Persistent_cand,at260,740ac6e7aec65be19f83fa6aabd3bec5,230|232|232|241|260|260,230,30,2,28,3,3,0.633,0.933,0.496,0.516,0.484,10
Persistent_cand,burnend,e9846107fe71ed0edbac241f122a1037efe8d04e6d233bd35cf2fabdeb93fb0d,266|270|273|279|281|282,266,16,5,11,5,4,0.375,0.625,0.258,0.908,0.092,2
Persistent_cand,climb,980246ee30088f65a3049bc9d465a6a286e68d4012202d0434d05f81868f68e3,204|233|250|250|256|256,204,52,29,23,3,3,0.558,0.885,0.431,0.584,0.416,12
Persistent_cand,at260,3b0d0f682f1fcaa3221799be6ff0b198efe8d04e6d233bd35cf2fabdeb93fb0d,211|211|235|256|260|260,211,49,0,49,3,3,0.49,0.918,0.43,0.57,0.43,3
