cohort,date,elapsed_day,n,n_dropout,breakthrough_rate,bt_ci_lo,bt_ci_hi,retention_rate,ret_ci_lo,ret_ci_hi,settle_rate
at260,2026-07-10,22,774,26,0.0012919896640826874,0.0,0.003875968992248062,0.0,0.0,0.0,
at260,2026-07-11,23,774,26,0.0012919896640826874,0.0,0.003875968992248062,0.0,0.0,0.0,
at260,2026-07-12,24,774,26,0.002583979328165375,0.0,0.006459948320413436,0.046511627906976744,0.03229974160206718,0.06201550387596899,
at260,2026-07-13,25,774,26,0.002583979328165375,0.0,0.006459948320413436,0.0,0.0,0.0,
at260,2026-07-14,26,774,26,0.002583979328165375,0.0,0.006459948320413436,0.0012919896640826874,0.0,0.003875968992248062,
at260,2026-07-15,27,774,26,0.002583979328165375,0.0,0.006459948320413436,0.0012919896640826874,0.0,0.003875968992248062,
at260,2026-07-16,28,774,26,0.002583979328165375,0.0,0.006459948320413436,0.0,0.0,0.0,
at260,2026-07-17,29,774,26,0.002583979328165375,0.0,0.006459948320413436,0.0,0.0,0.0,
at260,2026-07-18,30,774,26,0.002583979328165375,0.0,0.006459948320413436,0.0012919896640826874,0.0,0.003875968992248062,
at260,2026-07-19,31,774,26,0.002583979328165375,0.0,0.006459948320413436,0.0012919896640826874,0.0,0.003875968992248062,
at260,2026-07-20,32,774,26,0.003875968992248062,0.0,0.00904392764857881,0.028423772609819122,0.016795865633074936,0.040051679586563305,
at260,2026-07-21,33,774,26,0.003875968992248062,0.0,0.00904392764857881,0.0012919896640826874,0.0,0.003875968992248062,
at260,2026-07-22,34,774,26,0.003875968992248062,0.0,0.00904392764857881,0.0,0.0,0.0,
past260,2026-06-18,0,283,16,,,,,,,0.2147887323943662
past260,2026-06-19,1,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-06-20,2,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-06-21,3,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-06-22,4,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-06-23,5,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-06-24,6,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-06-25,7,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-06-26,8,283,16,,,,0.1267605633802817,0.09154929577464789,0.16549295774647887,0.2147887323943662
past260,2026-06-27,9,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-06-28,10,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-06-29,11,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-06-30,12,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-01,13,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-02,14,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-03,15,283,16,,,,0.0,0.0,0.0,0.2147887323943662
past260,2026-07-04,16,283,16,,,,0.11619718309859155,0.08098591549295775,0.15492957746478872,0.2147887323943662
past260,2026-07-05,17,283,16,,,,0.0,0.0,0.0,0.2147887323943662
